curriculum_track,skill_name,recommendation,generated_by,date_generated
CS Intelligent Systems,continuous integration,Additional skill that could be added or strengthened: continuous integration,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,cosmos db,Additional skill that could be added or strengthened: cosmos db,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,couchbase,Additional skill that could be added or strengthened: couchbase,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,d3.js,Additional skill that could be added or strengthened: d3.js,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,data catalog,Additional skill that could be added or strengthened: data catalog,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,data cleaning,Additional skill that could be added or strengthened: data cleaning,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,data cleansing,Additional skill that could be added or strengthened: data cleansing,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,data extraction,Additional skill that could be added or strengthened: data extraction,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,data governance,Additional skill that could be added or strengthened: data governance,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,data ingestion,Additional skill that could be added or strengthened: data ingestion,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,data integration,Additional skill that could be added or strengthened: data integration,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,data lake,Additional skill that could be added or strengthened: data lake,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,data lakes,Additional skill that could be added or strengthened: data lakes,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,data lineage,Additional skill that could be added or strengthened: data lineage,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,data loading,Additional skill that could be added or strengthened: data loading,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,data mart,Additional skill that could be added or strengthened: data mart,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,data mining,Additional skill that could be added or strengthened: data mining,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,data pipeline,Additional skill that could be added or strengthened: data pipeline,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,data pipelines,Additional skill that could be added or strengthened: data pipelines,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,data profiling,Additional skill that could be added or strengthened: data profiling,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,data quality,Additional skill that could be added or strengthened: data quality,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,data transformation,Additional skill that could be added or strengthened: data transformation,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,data validation,Additional skill that could be added or strengthened: data validation,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,data vault,Additional skill that could be added or strengthened: data vault,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,data visualization,Additional skill that could be added or strengthened: data visualization,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,data warehousing,Additional skill that could be added or strengthened: data warehousing,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,data wrangling,Additional skill that could be added or strengthened: data wrangling,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,database administration,Additional skill that could be added or strengthened: database administration,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,databricks,Additional skill that could be added or strengthened: databricks,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,datadog,Additional skill that could be added or strengthened: datadog,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,dax,Additional skill that could be added or strengthened: dax,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,db2,Additional skill that could be added or strengthened: db2,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,dbt,Additional skill that could be added or strengthened: dbt,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,design patterns,Additional skill that could be added or strengthened: design patterns,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,devops,Additional skill that could be added or strengthened: devops,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,dimension table,Additional skill that could be added or strengthened: dimension table,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,dimensional modeling,Additional skill that could be added or strengthened: dimensional modeling,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,dimensional modelling,Additional skill that could be added or strengthened: dimensional modelling,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,distributed systems,Additional skill that could be added or strengthened: distributed systems,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,django,Additional skill that could be added or strengthened: django,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,dns,Additional skill that could be added or strengthened: dns,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,docker,Additional skill that could be added or strengthened: docker,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,dynamodb,Additional skill that could be added or strengthened: dynamodb,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,ec2,Additional skill that could be added or strengthened: ec2,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,eigrp,Additional skill that could be added or strengthened: eigrp,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,eks,Additional skill that could be added or strengthened: eks,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,elasticsearch,Additional skill that could be added or strengthened: elasticsearch,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,elk stack,Additional skill that could be added or strengthened: elk stack,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,elt,Additional skill that could be added or strengthened: elt,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,er modeling,Additional skill that could be added or strengthened: er modeling,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,etl,Additional skill that could be added or strengthened: etl,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,express.js,Additional skill that could be added or strengthened: express.js,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,f5,Additional skill that could be added or strengthened: f5,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,fact table,Additional skill that could be added or strengthened: fact table,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,feature engineering,Additional skill that could be added or strengthened: feature engineering,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,firewall,Additional skill that could be added or strengthened: firewall,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,flask,Additional skill that could be added or strengthened: flask,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,flink,Additional skill that could be added or strengthened: flink,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,frontend,Additional skill that could be added or strengthened: frontend,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,full-stack,Additional skill that could be added or strengthened: full-stack,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,gcp,Additional skill that could be added or strengthened: gcp,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,gensim,Additional skill that could be added or strengthened: gensim,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,github,Additional skill that could be added or strengthened: github,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,gitlab,Additional skill that could be added or strengthened: gitlab,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,go,Additional skill that could be added or strengthened: go,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,go programming,Additional skill that could be added or strengthened: go programming,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,golang,Additional skill that could be added or strengthened: golang,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,google cloud,Additional skill that could be added or strengthened: google cloud,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,grafana,Additional skill that could be added or strengthened: grafana,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,graphql,Additional skill that could be added or strengthened: graphql,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,greenplum,Additional skill that could be added or strengthened: greenplum,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,group policy,Additional skill that could be added or strengthened: group policy,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,hadoop,Additional skill that could be added or strengthened: hadoop,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,hbase,Additional skill that could be added or strengthened: hbase,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,hibernate,Additional skill that could be added or strengthened: hibernate,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,hive,Additional skill that could be added or strengthened: hive,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,hyper-v,Additional skill that could be added or strengthened: hyper-v,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,hypothesis testing,Additional skill that could be added or strengthened: hypothesis testing,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,iaas,Additional skill that could be added or strengthened: iaas,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,icinga,Additional skill that could be added or strengthened: icinga,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,indexing,Additional skill that could be added or strengthened: indexing,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,informatica,Additional skill that could be added or strengthened: informatica,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,informatica data quality,Additional skill that could be added or strengthened: informatica data quality,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,infrastructure monitoring,Additional skill that could be added or strengthened: infrastructure monitoring,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,integration testing,Additional skill that could be added or strengthened: integration testing,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,javascript,Additional skill that could be added or strengthened: javascript,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,jenkins,Additional skill that could be added or strengthened: jenkins,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,jira,Additional skill that could be added or strengthened: jira,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,jquery,Additional skill that could be added or strengthened: jquery,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,juniper,Additional skill that could be added or strengthened: juniper,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,jupyter,Additional skill that could be added or strengthened: jupyter,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,jupyter notebook,Additional skill that could be added or strengthened: jupyter notebook,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,k8s,Additional skill that could be added or strengthened: k8s,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,kafka,Additional skill that could be added or strengthened: kafka,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,kafka streams,Additional skill that could be added or strengthened: kafka streams,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,kanban,Additional skill that could be added or strengthened: kanban,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,keras,Additional skill that could be added or strengthened: keras,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,kibana,Additional skill that could be added or strengthened: kibana,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,kinesis,Additional skill that could be added or strengthened: kinesis,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,kotlin,Additional skill that could be added or strengthened: kotlin,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,kubernetes,Additional skill that could be added or strengthened: kubernetes,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,lambda,Additional skill that could be added or strengthened: lambda,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,laravel,Additional skill that could be added or strengthened: laravel,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,ldap,Additional skill that could be added or strengthened: ldap,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,lightgbm,Additional skill that could be added or strengthened: lightgbm,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,load balancer,Additional skill that could be added or strengthened: load balancer,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,log management,Additional skill that could be added or strengthened: log management,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,logstash,Additional skill that could be added or strengthened: logstash,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,looker,Additional skill that could be added or strengthened: looker,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,luigi,Additional skill that could be added or strengthened: luigi,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,mapreduce,Additional skill that could be added or strengthened: mapreduce,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,mariadb,Additional skill that could be added or strengthened: mariadb,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,master data management,Additional skill that could be added or strengthened: master data management,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,matlab,Additional skill that could be added or strengthened: matlab,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,matplotlib,Additional skill that could be added or strengthened: matplotlib,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,mdm,Additional skill that could be added or strengthened: mdm,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,mdx,Additional skill that could be added or strengthened: mdx,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,memcached,Additional skill that could be added or strengthened: memcached,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,message queue,Additional skill that could be added or strengthened: message queue,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,microservices,Additional skill that could be added or strengthened: microservices,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,microsoft office,Additional skill that could be added or strengthened: microsoft office,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,microsoft sql server,Additional skill that could be added or strengthened: microsoft sql server,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,microstrategy,Additional skill that could be added or strengthened: microstrategy,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,ml models,Additional skill that could be added or strengthened: ml models,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,model deployment,Additional skill that could be added or strengthened: model deployment,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,model evaluation,Additional skill that could be added or strengthened: model evaluation,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,model training,Additional skill that could be added or strengthened: model training,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,model tuning,Additional skill that could be added or strengthened: model tuning,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,mongodb,Additional skill that could be added or strengthened: mongodb,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,mpls,Additional skill that could be added or strengthened: mpls,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,ms office,Additional skill that could be added or strengthened: ms office,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,mysql,Additional skill that could be added or strengthened: mysql,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,nagios,Additional skill that could be added or strengthened: nagios,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,neo4j,Additional skill that could be added or strengthened: neo4j,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,new relic,Additional skill that could be added or strengthened: new relic,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,nginx,Additional skill that could be added or strengthened: nginx,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,nifi,Additional skill that could be added or strengthened: nifi,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,node.js,Additional skill that could be added or strengthened: node.js,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,nodejs,Additional skill that could be added or strengthened: nodejs,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,nosql,Additional skill that could be added or strengthened: nosql,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,notebooks,Additional skill that could be added or strengthened: notebooks,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,numpy,Additional skill that could be added or strengthened: numpy,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
CS Intelligent Systems,object oriented programming,Additional skill that could be added or strengthened: object oriented programming,auto_sbert_siamese_v1,2025-12-06T05:04:26.848884
