track,course_code,course_title,skill_name,relevance
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,uniform-cost search,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,different techniques,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,games,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,applications,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,reinforcement learning,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,examples,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,optimization problems,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,genetic algorithm,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,discover robotic software architectures,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,skilled communication,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,knowledge construction,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,collaboration,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,topic,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,assessments,1
CS Intelligent Systems,S-CSIS426,Special Topics in Artificial Intelligence,real-world problem solving,1
CS Intelligent Systems,S-CSPC327,Automata Theory and Formal Languages,turing machine,5
CS Intelligent Systems,S-CSPC327,Automata Theory and Formal Languages,automata theory,2
CS Intelligent Systems,S-CSPC327,Automata Theory and Formal Languages,regular expressions,5
CS Intelligent Systems,S-CSPC327,Automata Theory and Formal Languages,formal languages,1
CS Intelligent Systems,S-CSPC327,Automata Theory and Formal Languages,computer science,5
CS Intelligent Systems,S-CSPC327,Automata Theory and Formal Languages,analyzes formal models,5
CS Intelligent Systems,S-CSPC327,Automata Theory and Formal Languages,regular languages,3
CS Intelligent Systems,S-CSPC327,Automata Theory and Formal Languages,natural language,1
CS Intelligent Systems,S-CSPC327,Automata Theory and Formal Languages,string-matching problems,1
CS Intelligent Systems,S-CSPC327,Automata Theory and Formal Languages,different formal languages,1
CS Intelligent Systems,S-CSPC327,Automata Theory and Formal Languages,design grammars,1
CS Intelligent Systems,S-CSPC327,Automata Theory and Formal Languages,given languages,2
CS Intelligent Systems,S-CSPC327,Automata Theory and Formal Languages,computational processes,1
CS Intelligent Systems,S-CSPC327,Automata Theory and Formal Languages,turing machines,5
CS Intelligent Systems,S-CSPC327,Automata Theory and Formal Languages,21st century skills,1
CS Intelligent Systems,S-CSPC327,Automata Theory and Formal Languages,regular and context-free languages,1
CS Intelligent Systems,S-CSPC327,Automata Theory and Formal Languages,recognition,1
CS Intelligent Systems,S-CSPC327,Automata Theory and Formal Languages,computational problems,1
CS Intelligent Systems,S-CSPC327,Automata Theory and Formal Languages,string- matching problems,1
CS Intelligent Systems,S-CSPC327,Automata Theory and Formal Languages,given regular languages,1
CS Intelligent Systems,S-CSPC327,Automata Theory and Formal Languages,states,1
CS Intelligent Systems,S-CSPC327,Automata Theory and Formal Languages,state,1
CS Intelligent Systems,S-CSPC327,Automata Theory and Formal Languages,context-free languages,2
CS Intelligent Systems,S-CSPC327,Automata Theory and Formal Languages,particularly its use,1
CS Intelligent Systems,S-CSPC327,Automata Theory and Formal Languages,design pdas,1
CS Intelligent Systems,S-CSPC327,Automata Theory and Formal Languages,some non-context free languages,1
CS Intelligent Systems,S-CSPC327,Automata Theory and Formal Languages,skilled communication,1
CS Intelligent Systems,S-CSPC327,Automata Theory and Formal Languages,knowledge construction,1
CS Intelligent Systems,S-CSPC327,Automata Theory and Formal Languages,topic,1
CS Intelligent Systems,S-CSPC327,Automata Theory and Formal Languages,collaboration,1
CS Intelligent Systems,S-CSPC327,Automata Theory and Formal Languages,assessments,1
CS Intelligent Systems,S-CSTH321,THESIS 1,procedures,5
CS Intelligent Systems,S-CSTH321,THESIS 1,field,5
CS Intelligent Systems,S-CSTH321,THESIS 1,different test organisms,5
CS Intelligent Systems,S-CSTH321,THESIS 1,some basic statistical designs,5
CS Intelligent Systems,S-CSTH321,THESIS 1,software engineering,1
CS Intelligent Systems,S-CSTH321,THESIS 1,nature,5
CS Intelligent Systems,S-CSTH321,THESIS 1,research settings,5
CS Intelligent Systems,S-CSTH321,THESIS 1,systems design,1
CS Intelligent Systems,S-CSTH321,THESIS 1,results,5
CS Intelligent Systems,S-CSTH321,THESIS 1,discussions,5
CS Intelligent Systems,S-CSTH321,THESIS 1,proper handling,5
CS Intelligent Systems,S-CSTH321,THESIS 1,research,5
CS Intelligent Systems,S-CSTH321,THESIS 1,laboratory performance,5
CS Intelligent Systems,S-CSTH321,THESIS 1,current technologies,1
CS Intelligent Systems,S-CSTH321,THESIS 1,oral and written proposals,1
CS Intelligent Systems,S-CSTH321,THESIS 1,skills,1
CS Intelligent Systems,S-CSTH321,THESIS 1,multiple stakeholders,1
CS Intelligent Systems,S-CSTH321,THESIS 1,natural language processing,1
CS Intelligent Systems,S-CSTH321,THESIS 1,internet,1
CS Intelligent Systems,S-CSTH321,THESIS 1,recommender systems,1
CS Intelligent Systems,S-CSTH321,THESIS 1,machine learning,1
CS Intelligent Systems,S-CSTH321,THESIS 1,mobile apps,1
CS Intelligent Systems,S-CSTH321,THESIS 1,computer vision,1
CS Intelligent Systems,S-CSTH321,THESIS 1,things,1
CS Intelligent Systems,S-CSTH321,THESIS 1,game creation,1
CS Intelligent Systems,S-CSTH321,THESIS 1,deep learning,1
CS Intelligent Systems,S-CSTH321,THESIS 1,artificial intelligence,1
CS Intelligent Systems,S-CSTH321,THESIS 1,reinforcement learning,1
CS Intelligent Systems,S-CSTH321,THESIS 1,applications,1
CS Intelligent Systems,S-CSTH321,THESIS 1,computing,1
CS Intelligent Systems,S-CSTH321,THESIS 1,mathematics,1
CS Intelligent Systems,S-CSTH321,THESIS 1,different domains,1
CS Intelligent Systems,S-CSTH321,THESIS 1,apply concepts,1
CS Intelligent Systems,S-CSTH321,THESIS 1,computer science,1
CS Intelligent Systems,S-CSTH321,THESIS 1,problems,1
CS Intelligent Systems,S-CSTH321,THESIS 1,computing requirements,1
CS Intelligent Systems,S-CSTH321,THESIS 1,usability,1
CS Intelligent Systems,S-CSTH321,THESIS 1,full advantage,1
CS Intelligent Systems,S-CSTH321,THESIS 1,computer resources,1
CS Intelligent Systems,S-CSTH321,THESIS 1,test,1
CS Intelligent Systems,S-CSTH321,THESIS 1,design,1
CS Intelligent Systems,S-CSTH321,THESIS 1,complex computing problems,1
CS Intelligent Systems,S-CSTH321,THESIS 1,computer technology,1
CS Intelligent Systems,S-CSTH321,THESIS 1,effective reports,1
CS Intelligent Systems,S-CSTH321,THESIS 1,document computer-based systems,1
CS Intelligent Systems,S-CSTH321,THESIS 1,risk assessment impact,1
CS Intelligent Systems,S-CSTH321,THESIS 1,function,1
CS Intelligent Systems,S-CSTH321,THESIS 1,computer professionals,1
CS Intelligent Systems,S-CSTH321,THESIS 1,continuing professional development,1
CS Intelligent Systems,S-CSTH321,THESIS 1,independent or collaborative research,1
CS Intelligent Systems,S-CSTH321,THESIS 1,software development,1
CS Intelligent Systems,S-CSPC429,Operating System,feedback,5
CS Intelligent Systems,S-CSPC429,Operating System,basic concepts,5
CS Intelligent Systems,S-CSPC429,Operating System,operating system concepts,1
CS Intelligent Systems,S-CSPC429,Operating System,classical and modern operating systems,5
CS Intelligent Systems,S-CSPC429,Operating System,disaster,5
CS Intelligent Systems,S-CSPC429,Operating System,assessment type,5
CS Intelligent Systems,S-CSPC429,Operating System,components,5
CS Intelligent Systems,S-CSPC429,Operating System,operating systems,5
CS Intelligent Systems,S-CSPC429,Operating System,communication,5
CS Intelligent Systems,S-CSPC429,Operating System,both online and offline/module-based approach,5
CS Intelligent Systems,S-CSPC429,Operating System,institutional guidelines,5
CS Intelligent Systems,S-CSPC429,Operating System,city,5
CS Intelligent Systems,S-CSPC429,Operating System,21cld,5
CS Intelligent Systems,S-CSPC429,Operating System,outcomes-based education,3
CS Intelligent Systems,S-CSPC429,Operating System,operating system,1
CS Intelligent Systems,S-CSPC429,Operating System,21st century learning design,3
CS Intelligent Systems,S-CSPC429,Operating System,different computing environments,1
CS Intelligent Systems,S-CSPC429,Operating System,different aspects,1
CS Intelligent Systems,S-CSPC429,Operating System,different operating systems,1
CS Intelligent Systems,S-CSPC429,Operating System,21st century skills,1
CS Intelligent Systems,S-CSPC429,Operating System,user mode,1
CS Intelligent Systems,S-CSPC429,Operating System,free and open-source operating systems,1
CS Intelligent Systems,S-CSPC429,Operating System,examples,1
CS Intelligent Systems,S-CSPC429,Operating System,identify services,1
CS Intelligent Systems,S-CSPC429,Operating System,operating system services,1
CS Intelligent Systems,S-CSPC429,Operating System,how system calls,1
CS Intelligent Systems,S-CSPC429,Operating System,calls,1
CS Intelligent Systems,S-CSPC429,Operating System,programs,1
CS Intelligent Systems,S-CSPC429,Operating System,remote procedure calls,1
CS Intelligent Systems,S-CSPC429,Operating System,client-server communication,1
CS Intelligent Systems,S-CSPC429,Operating System,scheduling criteria,1
CS Intelligent Systems,S-CSPC429,Operating System,assess cpu scheduling algorithms,1
CS Intelligent Systems,S-CSPC429,Operating System,cpu scheduling algorithms,1
CS Intelligent Systems,S-CSPC428,Networks and Communications,models,5
CS Intelligent Systems,S-CSPC428,Networks and Communications,network servers,5
CS Intelligent Systems,S-CSPC428,Networks and Communications,feedback,5
CS Intelligent Systems,S-CSPC428,Networks and Communications,current network design and performance issues,5
CS Intelligent Systems,S-CSPC428,Networks and Communications,implementation,5
CS Intelligent Systems,S-CSPC428,Networks and Communications,systems/network programming,5
CS Intelligent Systems,S-CSPC428,Networks and Communications,simulation and measurement tools,5
CS Intelligent Systems,S-CSPC428,Networks and Communications,outcomes-based education,5
CS Intelligent Systems,S-CSPC428,Networks and Communications,computer networks principles,5
CS Intelligent Systems,S-CSPC428,Networks and Communications,different layers,5
CS Intelligent Systems,S-CSPC428,Networks and Communications,hands-on networking experience,5
CS Intelligent Systems,S-CSPC428,Networks and Communications,administration,5
CS Intelligent Systems,S-CSPC428,Networks and Communications,disaster,5
CS Intelligent Systems,S-CSPC428,Networks and Communications,both online and offline/module based approach,5
CS Intelligent Systems,S-CSPC428,Networks and Communications,networking basics,5
CS Intelligent Systems,S-CSPC428,Networks and Communications,assessment type,5
CS Intelligent Systems,S-CSPC428,Networks and Communications,infrastructure design,5
CS Intelligent Systems,S-CSPC428,Networks and Communications,21st century learning design,5
CS Intelligent Systems,S-CSPC428,Networks and Communications,network programming and network applications,5
CS Intelligent Systems,S-CSPC428,Networks and Communications,network architecture,5
CS Intelligent Systems,S-CSPC428,Networks and Communications,communication,5
CS Intelligent Systems,S-CSPC428,Networks and Communications,maintenance,5
CS Intelligent Systems,S-CSPC428,Networks and Communications,cisco networking academy program,5
CS Intelligent Systems,S-CSPC428,Networks and Communications,open system interconnection,5
CS Intelligent Systems,S-CSPC428,Networks and Communications,institutional guidelines,5
CS Intelligent Systems,S-CSPC428,Networks and Communications,computer networks,5
CS Intelligent Systems,S-CSPC428,Networks and Communications,safety,5
CS Intelligent Systems,S-CSPC428,Networks and Communications,city,5
CS Intelligent Systems,S-CSPC428,Networks and Communications,network communication,2
CS Intelligent Systems,S-CSPC428,Networks and Communications,important concepts,1
CS Intelligent Systems,S-CSPC428,Networks and Communications,21cld,5
CS Intelligent Systems,S-CSPC428,Networks and Communications,connections,1
CS Intelligent Systems,S-CSPC428,Networks and Communications,components,1
CS Intelligent Systems,S-CSPC428,Networks and Communications,network types,1
CS Intelligent Systems,S-CSPC428,Networks and Communications,ethernet networks,1
CS Intelligent Systems,S-CSPC428,Networks and Communications,networks,2
CS Intelligent Systems,S-CSPC428,Networks and Communications,routers,2
CS Intelligent Systems,S-CSPC428,Networks and Communications,transport and application layer services,1
CS Intelligent Systems,S-CSPC428,Networks and Communications,configure mobile devices,1
CS Intelligent Systems,S-CSPC428,Networks and Communications,wireless access,1
CS Intelligent Systems,S-CSPC428,Networks and Communications,network,1
CS Intelligent Systems,S-CSPC428,Networks and Communications,capacity,1
CS Intelligent Systems,S-CSPC428,Networks and Communications,network transmission speed,1
CS Intelligent Systems,S-CSPC428,Networks and Communications,network infrastructure devices,1
CS Intelligent Systems,S-CSPC428,Networks and Communications,describe isp connectivity options,1
CS Intelligent Systems,S-CSPC428,Networks and Communications,standards,1
CS Intelligent Systems,S-CSPC428,Networks and Communications,network communication protocols,1
CS Intelligent Systems,S-CSPC428,Networks and Communications,segmentation,1
CS Intelligent Systems,S-CSPC428,Networks and Communications,mobile devices,1
CS Intelligent Systems,S-CSPC428,Networks and Communications,cell phones,1
CS Intelligent Systems,S-CSPC428,Networks and Communications,wireless network technologies,1
CS Intelligent Systems,S-CSPC428,Networks and Communications,network boundaries,1
CS Intelligent Systems,S-CSPC428,Networks and Communications,small networks,1
CS Intelligent Systems,S-CSPC428,Networks and Communications,network address translation,1
CS Intelligent Systems,S-CSPC428,Networks and Communications,internet services,1
CS Intelligent Systems,S-CSPC428,Networks and Communications,clients,1
CS Intelligent Systems,S-CSPC428,Networks and Communications,common network applications,1
CS Intelligent Systems,S-CSPC428,Networks and Communications,network utilities,1
CS Intelligent Systems,S-CSPC428,Networks and Communications,troubleshoot,1
CS Intelligent Systems,S-CSPC428,Networks and Communications,tables,1
CS Intelligent Systems,S-CSIS311 - LAB,Introduction to Machine Learning,big data analytics,5
CS Intelligent Systems,S-CSIS311 - LAB,Introduction to Machine Learning,support vector machines,5
CS Intelligent Systems,S-CSIS311 - LAB,Introduction to Machine Learning,kernel methods,5
CS Intelligent Systems,S-CSIS311 - LAB,Introduction to Machine Learning,recent advances,5
CS Intelligent Systems,S-CSIS311 - LAB,Introduction to Machine Learning,relevant disciplines,5
CS Intelligent Systems,S-CSIS311 - LAB,Introduction to Machine Learning,problems,5
CS Intelligent Systems,S-CSIS311 - LAB,Introduction to Machine Learning,new techniques,5
CS Intelligent Systems,S-CSIS311 - LAB,Introduction to Machine Learning,least square regression,5
CS Intelligent Systems,S-CSIS311 - LAB,Introduction to Machine Learning,topics,5
CS Intelligent Systems,S-CSIS311 - LAB,Introduction to Machine Learning,deep learning,5
CS Intelligent Systems,S-CSIS311 - LAB,Introduction to Machine Learning,unsupervised methods,5
CS Intelligent Systems,S-CSIS311 - LAB,Introduction to Machine Learning,classification,5
CS Intelligent Systems,S-CSIS311 - LAB,Introduction to Machine Learning,seminars,5
CS Intelligent Systems,S-CSIS311 - LAB,Introduction to Machine Learning,regression,5
CS Intelligent Systems,S-CSIS311 - LAB,Introduction to Machine Learning,workshops,5
CS Intelligent Systems,S-CSIS311 - LAB,Introduction to Machine Learning,logistic regression,5
CS Intelligent Systems,S-CSIS311 - LAB,Introduction to Machine Learning,stochastic optimization,5
CS Intelligent Systems,S-CSIS311 - LAB,Introduction to Machine Learning,models,2
CS Intelligent Systems,S-CSIS311 - LAB,Introduction to Machine Learning,data,3
CS Intelligent Systems,S-CSIS311 - LAB,Introduction to Machine Learning,machine learning,3
CS Intelligent Systems,S-CSIS311 - LAB,Introduction to Machine Learning,corpus data models,1
CS Intelligent Systems,S-CSIS311 - LAB,Introduction to Machine Learning,pre-processing techniques,1
CS Intelligent Systems,S-CSIS311 - LAB,Introduction to Machine Learning,essential elements,1
CS Intelligent Systems,S-CSIS311 - LAB,Introduction to Machine Learning,datasets,1
CS Intelligent Systems,S-CSIS311 - LAB,Introduction to Machine Learning,feature,1
CS Intelligent Systems,S-CSIS311 - LAB,Introduction to Machine Learning,domain areas,2
CS Intelligent Systems,S-CSIS311 - LAB,Introduction to Machine Learning,data observation,4
CS Intelligent Systems,S-CSIS311 - LAB,Introduction to Machine Learning,exhibits,2
CS Intelligent Systems,S-CSIS311 - LAB,Introduction to Machine Learning,python,2
CS Intelligent Systems,S-CSIS311 - LAB,Introduction to Machine Learning,collaboration,1
CS Intelligent Systems,S-CSIS311 - LEC,Introduction to Machine Learning,big data analytics,5
CS Intelligent Systems,S-CSIS311 - LEC,Introduction to Machine Learning,support vector machines,5
CS Intelligent Systems,S-CSIS311 - LEC,Introduction to Machine Learning,kernel methods,5
CS Intelligent Systems,S-CSIS311 - LEC,Introduction to Machine Learning,recent advances,5
CS Intelligent Systems,S-CSIS311 - LEC,Introduction to Machine Learning,relevant disciplines,5
CS Intelligent Systems,S-CSIS311 - LEC,Introduction to Machine Learning,problems,5
CS Intelligent Systems,S-CSIS311 - LEC,Introduction to Machine Learning,new techniques,5
CS Intelligent Systems,S-CSIS311 - LEC,Introduction to Machine Learning,least square regression,5
CS Intelligent Systems,S-CSIS311 - LEC,Introduction to Machine Learning,topics,5
CS Intelligent Systems,S-CSIS311 - LEC,Introduction to Machine Learning,deep learning,5
CS Intelligent Systems,S-CSIS311 - LEC,Introduction to Machine Learning,unsupervised methods,5
CS Intelligent Systems,S-CSIS311 - LEC,Introduction to Machine Learning,classification,5
CS Intelligent Systems,S-CSIS311 - LEC,Introduction to Machine Learning,seminars,5
CS Intelligent Systems,S-CSIS311 - LEC,Introduction to Machine Learning,regression,5
CS Intelligent Systems,S-CSIS311 - LEC,Introduction to Machine Learning,workshops,5
CS Intelligent Systems,S-CSIS311 - LEC,Introduction to Machine Learning,logistic regression,5
CS Intelligent Systems,S-CSIS311 - LEC,Introduction to Machine Learning,stochastic optimization,5
CS Intelligent Systems,S-CSIS311 - LEC,Introduction to Machine Learning,models,2
CS Intelligent Systems,S-CSIS311 - LEC,Introduction to Machine Learning,data,3
CS Intelligent Systems,S-CSIS311 - LEC,Introduction to Machine Learning,machine learning,3
CS Intelligent Systems,S-CSIS311 - LEC,Introduction to Machine Learning,corpus data models,1
CS Intelligent Systems,S-CSIS311 - LEC,Introduction to Machine Learning,pre-processing techniques,1
CS Intelligent Systems,S-CSIS311 - LEC,Introduction to Machine Learning,essential elements,1
CS Intelligent Systems,S-CSIS311 - LEC,Introduction to Machine Learning,datasets,1
CS Intelligent Systems,S-CSIS311 - LEC,Introduction to Machine Learning,feature,1
CS Intelligent Systems,S-CSIS311 - LEC,Introduction to Machine Learning,domain areas,2
CS Intelligent Systems,S-CSIS311 - LEC,Introduction to Machine Learning,data observation,4
CS Intelligent Systems,S-CSIS311 - LEC,Introduction to Machine Learning,exhibits,2
CS Intelligent Systems,S-CSIS311 - LEC,Introduction to Machine Learning,python,2
CS Intelligent Systems,S-CSIS311 - LEC,Introduction to Machine Learning,collaboration,1
CS Intelligent Systems,S-CSIS414 - LEC,Machine Learning 2,artificial intelligence,5
CS Intelligent Systems,S-CSIS414 - LEC,Machine Learning 2,industry and scientific study,5
CS Intelligent Systems,S-CSIS414 - LEC,Machine Learning 2,information theory,5
CS Intelligent Systems,S-CSIS414 - LEC,Machine Learning 2,systems,5
CS Intelligent Systems,S-CSIS414 - LEC,Machine Learning 2,statistics,5
CS Intelligent Systems,S-CSIS414 - LEC,Machine Learning 2,cognitive science,5
CS Intelligent Systems,S-CSIS414 - LEC,Machine Learning 2,advanced study,5
CS Intelligent Systems,S-CSIS414 - LEC,Machine Learning 2,real-world applications,5
CS Intelligent Systems,S-CSIS414 - LEC,Machine Learning 2,probability theory,5
CS Intelligent Systems,S-CSIS414 - LEC,Machine Learning 2,neural network,1
CS Intelligent Systems,S-CSIS414 - LEC,Machine Learning 2,computer systems,5
CS Intelligent Systems,S-CSIS414 - LEC,Machine Learning 2,data-driven models,1
CS Intelligent Systems,S-CSIS414 - LEC,Machine Learning 2,clustering algorithms,1
CS Intelligent Systems,S-CSIS414 - LEC,Machine Learning 2,classification,1
CS Intelligent Systems,S-CSIS414 - LEC,Machine Learning 2,optimal models,1
CS Intelligent Systems,S-CSIS414 - LEC,Machine Learning 2,tensorflow coding methods,1
CS Intelligent Systems,S-CSIS414 - LEC,Machine Learning 2,real-world issues,1
CS Intelligent Systems,S-CSIS414 - LEC,Machine Learning 2,machine learning,2
CS Intelligent Systems,S-CSIS414 - LEC,Machine Learning 2,distinguish artificial intelligence learning methods,1
CS Intelligent Systems,S-CSIS414 - LEC,Machine Learning 2,data preprocessing tools,1
CS Intelligent Systems,S-CSIS414 - LEC,Machine Learning 2,feature,1
CS Intelligent Systems,S-CSIS414 - LEC,Machine Learning 2,datasets,1
CS Intelligent Systems,S-CSIS414 - LEC,Machine Learning 2,intelligent features,1
CS Intelligent Systems,S-CSIS414 - LEC,Machine Learning 2,algorithm,1
CS Intelligent Systems,S-CSIS414 - LEC,Machine Learning 2,data observation,4
CS Intelligent Systems,S-CSIS414 - LEC,Machine Learning 2,exhibits,2
CS Intelligent Systems,S-CSIS414 - LEC,Machine Learning 2,application,1
CS Intelligent Systems,S-CSIS414 - LEC,Machine Learning 2,domain areas,1
CS Intelligent Systems,S-CSIS414 - LEC,Machine Learning 2,python,1
CS Intelligent Systems,S-CSIS312 - LAB,Natural Language Processing,natural language processing,5
CS Intelligent Systems,S-CSIS312 - LAB,Natural Language Processing,human language,5
CS Intelligent Systems,S-CSIS312 - LAB,Natural Language Processing,relevant disciplines,5
CS Intelligent Systems,S-CSIS312 - LAB,Natural Language Processing,method,5
CS Intelligent Systems,S-CSIS312 - LAB,Natural Language Processing,statistical and neural network learning algorithms,5
CS Intelligent Systems,S-CSIS312 - LAB,Natural Language Processing,computing systems,5
CS Intelligent Systems,S-CSIS312 - LAB,Natural Language Processing,data science,1
CS Intelligent Systems,S-CSIS312 - LAB,Natural Language Processing,annotated text,5
CS Intelligent Systems,S-CSIS312 - LAB,Natural Language Processing,seminars,5
CS Intelligent Systems,S-CSIS312 - LAB,Natural Language Processing,workshops,5
CS Intelligent Systems,S-CSIS312 - LAB,Natural Language Processing,process,1
CS Intelligent Systems,S-CSIS312 - LAB,Natural Language Processing,formative data,1
CS Intelligent Systems,S-CSIS312 - LAB,Natural Language Processing,data,2
CS Intelligent Systems,S-CSIS312 - LAB,Natural Language Processing,exploratory data analysis,1
CS Intelligent Systems,S-CSIS312 - LAB,Natural Language Processing,natural languages,1
CS Intelligent Systems,S-CSIS312 - LAB,Natural Language Processing,computational tools,1
CS Intelligent Systems,S-CSIS312 - LAB,Natural Language Processing,other domain areas,1
CS Intelligent Systems,S-CSIS312 - LAB,Natural Language Processing,algorithm,2
CS Intelligent Systems,S-CSIS312 - LAB,Natural Language Processing,research papers,2
CS Intelligent Systems,S-CSIS312 - LAB,Natural Language Processing,design,1
CS Intelligent Systems,S-CSIS312 - LAB,Natural Language Processing,structured data,1
CS Intelligent Systems,S-CSIS312 - LAB,Natural Language Processing,effective analysis,1
CS Intelligent Systems,S-CSIS312 - LAB,Natural Language Processing,visualization,1
CS Intelligent Systems,S-CSIS312 - LAB,Natural Language Processing,scientific computing,1
CS Intelligent Systems,S-CSIS312 - LAB,Natural Language Processing,machine learning,2
CS Intelligent Systems,S-CSIS312 - LAB,Natural Language Processing,domain areas,2
CS Intelligent Systems,S-CSIS312 - LAB,Natural Language Processing,python,2
CS Intelligent Systems,S-CSIS312 - LAB,Natural Language Processing,data observation,3
CS Intelligent Systems,S-CSIS312 - LAB,Natural Language Processing,exhibits,2
CS Intelligent Systems,S-CSIS312 - LAB,Natural Language Processing,collaboration,2
CS Intelligent Systems,S-CSIS312 - LEC,Natural Language Processing,natural language processing,5
CS Intelligent Systems,S-CSIS312 - LEC,Natural Language Processing,human language,5
CS Intelligent Systems,S-CSIS312 - LEC,Natural Language Processing,relevant disciplines,5
CS Intelligent Systems,S-CSIS312 - LEC,Natural Language Processing,method,5
CS Intelligent Systems,S-CSIS312 - LEC,Natural Language Processing,statistical and neural network learning algorithms,5
CS Intelligent Systems,S-CSIS312 - LEC,Natural Language Processing,computing systems,5
CS Intelligent Systems,S-CSIS312 - LEC,Natural Language Processing,data science,1
CS Intelligent Systems,S-CSIS312 - LEC,Natural Language Processing,annotated text,5
CS Intelligent Systems,S-CSIS312 - LEC,Natural Language Processing,seminars,5
CS Intelligent Systems,S-CSIS312 - LEC,Natural Language Processing,workshops,5
CS Intelligent Systems,S-CSIS312 - LEC,Natural Language Processing,process,1
CS Intelligent Systems,S-CSIS312 - LEC,Natural Language Processing,formative data,1
CS Intelligent Systems,S-CSIS312 - LEC,Natural Language Processing,data,2
CS Intelligent Systems,S-CSIS312 - LEC,Natural Language Processing,exploratory data analysis,1
CS Intelligent Systems,S-CSIS312 - LEC,Natural Language Processing,natural languages,1
CS Intelligent Systems,S-CSIS312 - LEC,Natural Language Processing,computational tools,1
CS Intelligent Systems,S-CSIS312 - LEC,Natural Language Processing,other domain areas,1
CS Intelligent Systems,S-CSIS312 - LEC,Natural Language Processing,algorithm,2
