Course Code,Course Title,Course Description,Outcome Type,Period,Outcome Number,Outcome Text
S-CSIS426,Special Topics in Artificial Intelligence,"Deals with topics on specialized or current interest which may change. It includes expert systems, natural language processing, neural network models, machine learning, and AI applications in remote sensing.",Topic Learning Outcome,Midterm,TLO7,"Differentiate between various types of problems (e.g., deterministic vs. stochastic, single- agent vs. multi-agent)."
S-CSIS426,Special Topics in Artificial Intelligence,"Deals with topics on specialized or current interest which may change. It includes expert systems, natural language processing, neural network models, machine learning, and AI applications in remote sensing.",Topic Learning Outcome,Midterm,TLO8,"Describe different search strategies used in AI, including uninformed (blind) search and informed (heuristic) search."
S-CSIS426,Special Topics in Artificial Intelligence,"Deals with topics on specialized or current interest which may change. It includes expert systems, natural language processing, neural network models, machine learning, and AI applications in remote sensing.",Topic Learning Outcome,Midterm,TLO9,"Compare and contrast various search algorithms such as breadth-first search, depth-first search, uniform-cost search, and A* search."
S-CSIS426,Special Topics in Artificial Intelligence,"Deals with topics on specialized or current interest which may change. It includes expert systems, natural language processing, neural network models, machine learning, and AI applications in remote sensing.",Topic Learning Outcome,Final Period,TLO10,Apply different techniques to create games and applications.
S-CSIS426,Special Topics in Artificial Intelligence,"Deals with topics on specialized or current interest which may change. It includes expert systems, natural language processing, neural network models, machine learning, and AI applications in remote sensing.",Topic Learning Outcome,Final Period,TLO11,"Classify learning from examples, knowledge in learning and reinforcement learning."
S-CSIS426,Special Topics in Artificial Intelligence,"Deals with topics on specialized or current interest which may change. It includes expert systems, natural language processing, neural network models, machine learning, and AI applications in remote sensing.",Topic Learning Outcome,Final Period,TLO12,Apply genetic algorithm to solve optimization problems.
S-CSIS426,Special Topics in Artificial Intelligence,"Deals with topics on specialized or current interest which may change. It includes expert systems, natural language processing, neural network models, machine learning, and AI applications in remote sensing.",Topic Learning Outcome,Final Period,TLO13,Discover robotic software architectures.
S-CSIS426,Special Topics in Artificial Intelligence,"Deals with topics on specialized or current interest which may change. It includes expert systems, natural language processing, neural network models, machine learning, and AI applications in remote sensing.",Topic Learning Outcome,Final Period,TLO14,Apply the different topics you learned in Al to come up with a new innovation.
S-CSIS426,Special Topics in Artificial Intelligence,"Deals with topics on specialized or current interest which may change. It includes expert systems, natural language processing, neural network models, machine learning, and AI applications in remote sensing.",Topic Learning Outcome,Final Period,TLO15,"Collaboration, Skilled Communication, Knowledge Construction, Self-Regulation, Real-World Problem Solving, Use of ICT (not part of topic, but integrated in assessments)"
S-CSPC327,Automata Theory and Formal Languages,"Analyzes formal models in computer science, including regular expressions, finite automata, context-free grammars, pushdown automata and Turing machine.",Course Learning Outcome,,CLO1,acquire a fundamental understanding of the core concepts in automata theory and formal languages;
S-CSPC327,Automata Theory and Formal Languages,"Analyzes formal models in computer science, including regular expressions, finite automata, context-free grammars, pushdown automata and Turing machine.",Course Learning Outcome,,CLO2,"analyze and construct regular expressions to define regular languages, solve string-matching problems, and effectively describe their corresponding languages in natural language;"
S-CSPC327,Automata Theory and Formal Languages,"Analyzes formal models in computer science, including regular expressions, finite automata, context-free grammars, pushdown automata and Turing machine.",Course Learning Outcome,,CLO3,classify the different computing machines by discussing the different formal models;
S-CSPC327,Automata Theory and Formal Languages,"Analyzes formal models in computer science, including regular expressions, finite automata, context-free grammars, pushdown automata and Turing machine.",Course Learning Outcome,,CLO4,design grammars and recognizers for different formal languages;
S-CSPC327,Automata Theory and Formal Languages,"Analyzes formal models in computer science, including regular expressions, finite automata, context-free grammars, pushdown automata and Turing machine.",Course Learning Outcome,,CLO5,"explain the principles of pushdown automata (PDAs) by identifying their components, determining the languages they recognize, designing PDAs for given languages, and converting between PDAs and context-free grammars (CFGs) to model computational processes."
S-CSPC327,Automata Theory and Formal Languages,"Analyzes formal models in computer science, including regular expressions, finite automata, context-free grammars, pushdown automata and Turing machine.",Course Learning Outcome,,CLO6,"evaluate Turing machines by identifying their components, their operations, and the languages they recognize;"
S-CSPC327,Automata Theory and Formal Languages,"Analyzes formal models in computer science, including regular expressions, finite automata, context-free grammars, pushdown automata and Turing machine.",Course Learning Outcome,,CLO7,demonstrate 21st century skills in all learning activities;
S-CSPC327,Automata Theory and Formal Languages,"Analyzes formal models in computer science, including regular expressions, finite automata, context-free grammars, pushdown automata and Turing machine.",Topic Learning Outcome,Midterm,TLO1,"Demonstrate understanding of automata theory and apply its concepts to solve computational problems, including recognition of regular and context-free languages."
S-CSPC327,Automata Theory and Formal Languages,"Analyzes formal models in computer science, including regular expressions, finite automata, context-free grammars, pushdown automata and Turing machine.",Topic Learning Outcome,Midterm,TLO2,Understand the concepts of regular expressions and apply them to define regular languages and solve string- matching problems.
S-CSPC327,Automata Theory and Formal Languages,"Analyzes formal models in computer science, including regular expressions, finite automata, context-free grammars, pushdown automata and Turing machine.",Topic Learning Outcome,Midterm,TLO3,Describe in plain English the language of regular expressions with straightforward descriptions.
S-CSPC327,Automata Theory and Formal Languages,"Analyzes formal models in computer science, including regular expressions, finite automata, context-free grammars, pushdown automata and Turing machine.",Topic Learning Outcome,Midterm,TLO4,Write regular expressions of given regular languages.
S-CSPC327,Automata Theory and Formal Languages,"Analyzes formal models in computer science, including regular expressions, finite automata, context-free grammars, pushdown automata and Turing machine.",Topic Learning Outcome,Midterm,TLO5,"Recognize and describe the components of a Deterministic Finite Automaton (DFA), including states, alphabet, transitions, start state, and accepting states."
S-CSPC327,Automata Theory and Formal Languages,"Analyzes formal models in computer science, including regular expressions, finite automata, context-free grammars, pushdown automata and Turing machine.",Topic Learning Outcome,Midterm,TLO6,Identify the languages of given DFAs.
S-CSPC327,Automata Theory and Formal Languages,"Analyzes formal models in computer science, including regular expressions, finite automata, context-free grammars, pushdown automata and Turing machine.",Topic Learning Outcome,Midterm,TLO7,Construct DFAs based from the given language.
S-CSPC327,Automata Theory and Formal Languages,"Analyzes formal models in computer science, including regular expressions, finite automata, context-free grammars, pushdown automata and Turing machine.",Topic Learning Outcome,Final Period,TLO8,Understand the concepts of context-free grammar.
S-CSPC327,Automata Theory and Formal Languages,"Analyzes formal models in computer science, including regular expressions, finite automata, context-free grammars, pushdown automata and Turing machine.",Topic Learning Outcome,Final Period,TLO9,Describe in plain English the languages of CFGs with straightforward descriptions.
S-CSPC327,Automata Theory and Formal Languages,"Analyzes formal models in computer science, including regular expressions, finite automata, context-free grammars, pushdown automata and Turing machine.",Topic Learning Outcome,Final Period,TLO10,Construct CFGs for context-free languages.
S-CSPC327,Automata Theory and Formal Languages,"Analyzes formal models in computer science, including regular expressions, finite automata, context-free grammars, pushdown automata and Turing machine.",Topic Learning Outcome,Final Period,TLO11,Argue why a language description is or is not the language of a CFG.
S-CSPC327,Automata Theory and Formal Languages,"Analyzes formal models in computer science, including regular expressions, finite automata, context-free grammars, pushdown automata and Turing machine.",Topic Learning Outcome,Final Period,TLO12,Recognize the components of a pushdown automaton particularly its use of an infinite stack.
S-CSPC327,Automata Theory and Formal Languages,"Analyzes formal models in computer science, including regular expressions, finite automata, context-free grammars, pushdown automata and Turing machine.",Topic Learning Outcome,Final Period,TLO13,Identify the languages accepted by given PDAs.
S-CSPC327,Automata Theory and Formal Languages,"Analyzes formal models in computer science, including regular expressions, finite automata, context-free grammars, pushdown automata and Turing machine.",Topic Learning Outcome,Final Period,TLO14,Design PDAs of given languages.
S-CSPC327,Automata Theory and Formal Languages,"Analyzes formal models in computer science, including regular expressions, finite automata, context-free grammars, pushdown automata and Turing machine.",Topic Learning Outcome,Final Period,TLO15,Convert between PDAs and CFGs.
S-CSPC327,Automata Theory and Formal Languages,"Analyzes formal models in computer science, including regular expressions, finite automata, context-free grammars, pushdown automata and Turing machine.",Topic Learning Outcome,Final Period,TLO16,Identify the components of Turing Machines.
S-CSPC327,Automata Theory and Formal Languages,"Analyzes formal models in computer science, including regular expressions, finite automata, context-free grammars, pushdown automata and Turing machine.",Topic Learning Outcome,Final Period,TLO17,Understand how Turing machines operate.
S-CSPC327,Automata Theory and Formal Languages,"Analyzes formal models in computer science, including regular expressions, finite automata, context-free grammars, pushdown automata and Turing machine.",Topic Learning Outcome,Final Period,TLO18,Determine the languages accepted by given Turing machines.
S-CSPC327,Automata Theory and Formal Languages,"Analyzes formal models in computer science, including regular expressions, finite automata, context-free grammars, pushdown automata and Turing machine.",Topic Learning Outcome,Final Period,TLO19,"Construct Turing machines that accept regular languages, context-free languages and some non-context free languages."
S-CSPC327,Automata Theory and Formal Languages,"Analyzes formal models in computer science, including regular expressions, finite automata, context-free grammars, pushdown automata and Turing machine.",Topic Learning Outcome,Final Period,TLO20,"Collaboration, Skilled Communication, Knowledge Construction, Self-Regulation, Real-World Problem-Solving, Use of ICT (not part of topic, but integrated in assessments)."
S-CSTH321,THESIS 1,"This course improves your understanding of the various methods of research, some basic statistical designs and procedures, and the different parts of a thesis, including field and laboratory performance. The course output is an undergraduate thesis consisting of the defended proposal, results and discussions, and conclusion. This course includes the practical applications of Godly stewardship of nature through proper handling of different test organisms and research settings. It also includes character-building through proper experimentation and scientific paper oral presentation.",Course Learning Outcome,,CLO1,"understand the latest concepts in systems design, software engineering and current technologies;"
S-CSTH321,THESIS 1,"This course improves your understanding of the various methods of research, some basic statistical designs and procedures, and the different parts of a thesis, including field and laboratory performance. The course output is an undergraduate thesis consisting of the defended proposal, results and discussions, and conclusion. This course includes the practical applications of Godly stewardship of nature through proper handling of different test organisms and research settings. It also includes character-building through proper experimentation and scientific paper oral presentation.",Course Learning Outcome,,CLO2,investigate and evaluate prominent literature connected to the research topic;
S-CSTH321,THESIS 1,"This course improves your understanding of the various methods of research, some basic statistical designs and procedures, and the different parts of a thesis, including field and laboratory performance. The course output is an undergraduate thesis consisting of the defended proposal, results and discussions, and conclusion. This course includes the practical applications of Godly stewardship of nature through proper handling of different test organisms and research settings. It also includes character-building through proper experimentation and scientific paper oral presentation.",Course Learning Outcome,,CLO3,"define the scope of the project, planning and scheduling the collaborative efforts of the team, and documenting the effort via oral and written proposals;"
S-CSTH321,THESIS 1,"This course improves your understanding of the various methods of research, some basic statistical designs and procedures, and the different parts of a thesis, including field and laboratory performance. The course output is an undergraduate thesis consisting of the defended proposal, results and discussions, and conclusion. This course includes the practical applications of Godly stewardship of nature through proper handling of different test organisms and research settings. It also includes character-building through proper experimentation and scientific paper oral presentation.",Course Learning Outcome,,CLO4,"demonstrate that they can function, communicate, collaborate and continue to learn effectively as ethically and socially responsible CS professionals;"
S-CSTH321,THESIS 1,"This course improves your understanding of the various methods of research, some basic statistical designs and procedures, and the different parts of a thesis, including field and laboratory performance. The course output is an undergraduate thesis consisting of the defended proposal, results and discussions, and conclusion. This course includes the practical applications of Godly stewardship of nature through proper handling of different test organisms and research settings. It also includes character-building through proper experimentation and scientific paper oral presentation.",Course Learning Outcome,,CLO5,develop skills to communicate with and balance the interests of multiple stakeholders (both technical and non- technical) on a project;
S-CSTH321,THESIS 1,"This course improves your understanding of the various methods of research, some basic statistical designs and procedures, and the different parts of a thesis, including field and laboratory performance. The course output is an undergraduate thesis consisting of the defended proposal, results and discussions, and conclusion. This course includes the practical applications of Godly stewardship of nature through proper handling of different test organisms and research settings. It also includes character-building through proper experimentation and scientific paper oral presentation.",Course Learning Outcome,,CLO6,"present to the assigned panelists the software for applications (Mobile apps, Game Creation, Artificial Intelligence, Internet of Things, Recommender Systems, Computer Vision, Natural Language Processing, Reinforcement Learning, Deep Learning and Machine Learning) with the necessary documentation."
S-CSTH321,THESIS 1,"This course improves your understanding of the various methods of research, some basic statistical designs and procedures, and the different parts of a thesis, including field and laboratory performance. The course output is an undergraduate thesis consisting of the defended proposal, results and discussions, and conclusion. This course includes the practical applications of Godly stewardship of nature through proper handling of different test organisms and research settings. It also includes character-building through proper experimentation and scientific paper oral presentation.",Topic Learning Outcome,Midterm,TLO1,Apply concepts of computing and mathematics in different domains of computer science.
S-CSTH321,THESIS 1,"This course improves your understanding of the various methods of research, some basic statistical designs and procedures, and the different parts of a thesis, including field and laboratory performance. The course output is an undergraduate thesis consisting of the defended proposal, results and discussions, and conclusion. This course includes the practical applications of Godly stewardship of nature through proper handling of different test organisms and research settings. It also includes character-building through proper experimentation and scientific paper oral presentation.",Topic Learning Outcome,Midterm,TLO2,Identify and analyze problems and define computing requirements appropriate to their solutions.
S-CSTH321,THESIS 1,"This course improves your understanding of the various methods of research, some basic statistical designs and procedures, and the different parts of a thesis, including field and laboratory performance. The course output is an undergraduate thesis consisting of the defended proposal, results and discussions, and conclusion. This course includes the practical applications of Godly stewardship of nature through proper handling of different test organisms and research settings. It also includes character-building through proper experimentation and scientific paper oral presentation.",Topic Learning Outcome,Midterm,TLO3,"Design, develop, test and evaluate various solutions using algorithms for complex computing problems that take full advantage of usability of computer resources."
S-CSTH321,THESIS 1,"This course improves your understanding of the various methods of research, some basic statistical designs and procedures, and the different parts of a thesis, including field and laboratory performance. The course output is an undergraduate thesis consisting of the defended proposal, results and discussions, and conclusion. This course includes the practical applications of Godly stewardship of nature through proper handling of different test organisms and research settings. It also includes character-building through proper experimentation and scientific paper oral presentation.",Topic Learning Outcome,Midterm,TLO4,"Recognize the legal, social ethical, and professional issues involved in the utilization of computer technology and address these issues."
S-CSTH321,THESIS 1,"This course improves your understanding of the various methods of research, some basic statistical designs and procedures, and the different parts of a thesis, including field and laboratory performance. The course output is an undergraduate thesis consisting of the defended proposal, results and discussions, and conclusion. This course includes the practical applications of Godly stewardship of nature through proper handling of different test organisms and research settings. It also includes character-building through proper experimentation and scientific paper oral presentation.",Topic Learning Outcome,Final Period,TLO5,Document computer-based systems by writing effective reports of risk assessment impact.
S-CSTH321,THESIS 1,"This course improves your understanding of the various methods of research, some basic statistical designs and procedures, and the different parts of a thesis, including field and laboratory performance. The course output is an undergraduate thesis consisting of the defended proposal, results and discussions, and conclusion. This course includes the practical applications of Godly stewardship of nature through proper handling of different test organisms and research settings. It also includes character-building through proper experimentation and scientific paper oral presentation.",Topic Learning Outcome,Final Period,TLO6,Function effectively as a member or leader of a development team recognizing the different roles with a team to accomplish a common goal.
S-CSTH321,THESIS 1,"This course improves your understanding of the various methods of research, some basic statistical designs and procedures, and the different parts of a thesis, including field and laboratory performance. The course output is an undergraduate thesis consisting of the defended proposal, results and discussions, and conclusion. This course includes the practical applications of Godly stewardship of nature through proper handling of different test organisms and research settings. It also includes character-building through proper experimentation and scientific paper oral presentation.",Topic Learning Outcome,Final Period,TLO7,Engage in continuing professional development through performing independent or collaborative research as computer professionals.
S-CSTH321,THESIS 1,"This course improves your understanding of the various methods of research, some basic statistical designs and procedures, and the different parts of a thesis, including field and laboratory performance. The course output is an undergraduate thesis consisting of the defended proposal, results and discussions, and conclusion. This course includes the practical applications of Godly stewardship of nature through proper handling of different test organisms and research settings. It also includes character-building through proper experimentation and scientific paper oral presentation.",Topic Learning Outcome,Final Period,TLO8,Work effectively as an individual or as a member of a team during software development.
S-CSPC429,Operating System,"This course introduces a clear description of the concepts that underlie operating systems which focus on basic concepts, architectures, components, and theories that serve as bases for the design of classical and modern operating systems. The course will have a special provision on modality, pacing, pedagogy, assessment type, communication and feedback based on the national, regional, provincial, city, and institutional guidelines for the safety amidst disaster and pandemic. Hence, this class shall be delivered in both online and offline/module-based approach. This course is also compliant with Outcomes-Based Education (OBE) and 21st Century Learning Design (21CLD) frameworks.",Course Learning Outcome,,CLO 1,understand operating system concepts by identifying how a computer system is organized;
S-CSPC429,Operating System,"This course introduces a clear description of the concepts that underlie operating systems which focus on basic concepts, architectures, components, and theories that serve as bases for the design of classical and modern operating systems. The course will have a special provision on modality, pacing, pedagogy, assessment type, communication and feedback based on the national, regional, provincial, city, and institutional guidelines for the safety amidst disaster and pandemic. Hence, this class shall be delivered in both online and offline/module-based approach. This course is also compliant with Outcomes-Based Education (OBE) and 21st Century Learning Design (21CLD) frameworks.",Course Learning Outcome,,CLO 2,explain how operating system accomplishes its tasks in different computing environments;
S-CSPC429,Operating System,"This course introduces a clear description of the concepts that underlie operating systems which focus on basic concepts, architectures, components, and theories that serve as bases for the design of classical and modern operating systems. The course will have a special provision on modality, pacing, pedagogy, assessment type, communication and feedback based on the national, regional, provincial, city, and institutional guidelines for the safety amidst disaster and pandemic. Hence, this class shall be delivered in both online and offline/module-based approach. This course is also compliant with Outcomes-Based Education (OBE) and 21st Century Learning Design (21CLD) frameworks.",Course Learning Outcome,,CLO 3,"evaluate different aspects of operating systems, the various services the operating system provides and describe how operating systems are created;"
S-CSPC429,Operating System,"This course introduces a clear description of the concepts that underlie operating systems which focus on basic concepts, architectures, components, and theories that serve as bases for the design of classical and modern operating systems. The course will have a special provision on modality, pacing, pedagogy, assessment type, communication and feedback based on the national, regional, provincial, city, and institutional guidelines for the safety amidst disaster and pandemic. Hence, this class shall be delivered in both online and offline/module-based approach. This course is also compliant with Outcomes-Based Education (OBE) and 21st Century Learning Design (21CLD) frameworks.",Course Learning Outcome,,CLO 4,analyze all vital concepts about processes;
S-CSPC429,Operating System,"This course introduces a clear description of the concepts that underlie operating systems which focus on basic concepts, architectures, components, and theories that serve as bases for the design of classical and modern operating systems. The course will have a special provision on modality, pacing, pedagogy, assessment type, communication and feedback based on the national, regional, provincial, city, and institutional guidelines for the safety amidst disaster and pandemic. Hence, this class shall be delivered in both online and offline/module-based approach. This course is also compliant with Outcomes-Based Education (OBE) and 21st Century Learning Design (21CLD) frameworks.",Course Learning Outcome,,CLO 5,examine the different scheduling algorithms utilized by different operating systems;
S-CSPC429,Operating System,"This course introduces a clear description of the concepts that underlie operating systems which focus on basic concepts, architectures, components, and theories that serve as bases for the design of classical and modern operating systems. The course will have a special provision on modality, pacing, pedagogy, assessment type, communication and feedback based on the national, regional, provincial, city, and institutional guidelines for the safety amidst disaster and pandemic. Hence, this class shall be delivered in both online and offline/module-based approach. This course is also compliant with Outcomes-Based Education (OBE) and 21st Century Learning Design (21CLD) frameworks.",Course Learning Outcome,,CLO 6,demonstrate 21st century skills in all learning activities.
S-CSPC429,Operating System,"This course introduces a clear description of the concepts that underlie operating systems which focus on basic concepts, architectures, components, and theories that serve as bases for the design of classical and modern operating systems. The course will have a special provision on modality, pacing, pedagogy, assessment type, communication and feedback based on the national, regional, provincial, city, and institutional guidelines for the safety amidst disaster and pandemic. Hence, this class shall be delivered in both online and offline/module-based approach. This course is also compliant with Outcomes-Based Education (OBE) and 21st Century Learning Design (21CLD) frameworks.",Topic Learning Outcome,Midterm,TLO 1,Describe the general organization of a computer system and the role of interrupts.
S-CSPC429,Operating System,"This course introduces a clear description of the concepts that underlie operating systems which focus on basic concepts, architectures, components, and theories that serve as bases for the design of classical and modern operating systems. The course will have a special provision on modality, pacing, pedagogy, assessment type, communication and feedback based on the national, regional, provincial, city, and institutional guidelines for the safety amidst disaster and pandemic. Hence, this class shall be delivered in both online and offline/module-based approach. This course is also compliant with Outcomes-Based Education (OBE) and 21st Century Learning Design (21CLD) frameworks.",Topic Learning Outcome,Midterm,TLO 2,"Describe the components in a modern, multiprocessor computer system."
S-CSPC429,Operating System,"This course introduces a clear description of the concepts that underlie operating systems which focus on basic concepts, architectures, components, and theories that serve as bases for the design of classical and modern operating systems. The course will have a special provision on modality, pacing, pedagogy, assessment type, communication and feedback based on the national, regional, provincial, city, and institutional guidelines for the safety amidst disaster and pandemic. Hence, this class shall be delivered in both online and offline/module-based approach. This course is also compliant with Outcomes-Based Education (OBE) and 21st Century Learning Design (21CLD) frameworks.",Topic Learning Outcome,Midterm,TLO 3,Illustrate the transition from user mode to kernel mode.
S-CSPC429,Operating System,"This course introduces a clear description of the concepts that underlie operating systems which focus on basic concepts, architectures, components, and theories that serve as bases for the design of classical and modern operating systems. The course will have a special provision on modality, pacing, pedagogy, assessment type, communication and feedback based on the national, regional, provincial, city, and institutional guidelines for the safety amidst disaster and pandemic. Hence, this class shall be delivered in both online and offline/module-based approach. This course is also compliant with Outcomes-Based Education (OBE) and 21st Century Learning Design (21CLD) frameworks.",Topic Learning Outcome,Midterm,TLO 4,Discuss how operating systems are used in various computing environments.
S-CSPC429,Operating System,"This course introduces a clear description of the concepts that underlie operating systems which focus on basic concepts, architectures, components, and theories that serve as bases for the design of classical and modern operating systems. The course will have a special provision on modality, pacing, pedagogy, assessment type, communication and feedback based on the national, regional, provincial, city, and institutional guidelines for the safety amidst disaster and pandemic. Hence, this class shall be delivered in both online and offline/module-based approach. This course is also compliant with Outcomes-Based Education (OBE) and 21st Century Learning Design (21CLD) frameworks.",Topic Learning Outcome,Midterm,TLO 5,Provide examples of free and open-source operating systems.
S-CSPC429,Operating System,"This course introduces a clear description of the concepts that underlie operating systems which focus on basic concepts, architectures, components, and theories that serve as bases for the design of classical and modern operating systems. The course will have a special provision on modality, pacing, pedagogy, assessment type, communication and feedback based on the national, regional, provincial, city, and institutional guidelines for the safety amidst disaster and pandemic. Hence, this class shall be delivered in both online and offline/module-based approach. This course is also compliant with Outcomes-Based Education (OBE) and 21st Century Learning Design (21CLD) frameworks.",Topic Learning Outcome,Midterm,TLO 6,Identify services provided by an operating system.
S-CSPC429,Operating System,"This course introduces a clear description of the concepts that underlie operating systems which focus on basic concepts, architectures, components, and theories that serve as bases for the design of classical and modern operating systems. The course will have a special provision on modality, pacing, pedagogy, assessment type, communication and feedback based on the national, regional, provincial, city, and institutional guidelines for the safety amidst disaster and pandemic. Hence, this class shall be delivered in both online and offline/module-based approach. This course is also compliant with Outcomes-Based Education (OBE) and 21st Century Learning Design (21CLD) frameworks.",Topic Learning Outcome,Midterm,TLO 7,Illustrate how system calls are used to provide operating system services.
S-CSPC429,Operating System,"This course introduces a clear description of the concepts that underlie operating systems which focus on basic concepts, architectures, components, and theories that serve as bases for the design of classical and modern operating systems. The course will have a special provision on modality, pacing, pedagogy, assessment type, communication and feedback based on the national, regional, provincial, city, and institutional guidelines for the safety amidst disaster and pandemic. Hence, this class shall be delivered in both online and offline/module-based approach. This course is also compliant with Outcomes-Based Education (OBE) and 21st Century Learning Design (21CLD) frameworks.",Topic Learning Outcome,Midterm,TLO 8,"Compare and contrast monolithic, layered, microkernel, modular, and hybrid strategies for designing operating systems."
S-CSPC429,Operating System,"This course introduces a clear description of the concepts that underlie operating systems which focus on basic concepts, architectures, components, and theories that serve as bases for the design of classical and modern operating systems. The course will have a special provision on modality, pacing, pedagogy, assessment type, communication and feedback based on the national, regional, provincial, city, and institutional guidelines for the safety amidst disaster and pandemic. Hence, this class shall be delivered in both online and offline/module-based approach. This course is also compliant with Outcomes-Based Education (OBE) and 21st Century Learning Design (21CLD) frameworks.",Topic Learning Outcome,Midterm,TLO 9,Illustrate the process for booting an operating system.
S-CSPC429,Operating System,"This course introduces a clear description of the concepts that underlie operating systems which focus on basic concepts, architectures, components, and theories that serve as bases for the design of classical and modern operating systems. The course will have a special provision on modality, pacing, pedagogy, assessment type, communication and feedback based on the national, regional, provincial, city, and institutional guidelines for the safety amidst disaster and pandemic. Hence, this class shall be delivered in both online and offline/module-based approach. This course is also compliant with Outcomes-Based Education (OBE) and 21st Century Learning Design (21CLD) frameworks.",Topic Learning Outcome,Final Period,TLO 10,Identify the separate components of a process.
S-CSPC429,Operating System,"This course introduces a clear description of the concepts that underlie operating systems which focus on basic concepts, architectures, components, and theories that serve as bases for the design of classical and modern operating systems. The course will have a special provision on modality, pacing, pedagogy, assessment type, communication and feedback based on the national, regional, provincial, city, and institutional guidelines for the safety amidst disaster and pandemic. Hence, this class shall be delivered in both online and offline/module-based approach. This course is also compliant with Outcomes-Based Education (OBE) and 21st Century Learning Design (21CLD) frameworks.",Topic Learning Outcome,Final Period,TLO 11,Illustrate how they are represented and scheduled in an operating system.
S-CSPC429,Operating System,"This course introduces a clear description of the concepts that underlie operating systems which focus on basic concepts, architectures, components, and theories that serve as bases for the design of classical and modern operating systems. The course will have a special provision on modality, pacing, pedagogy, assessment type, communication and feedback based on the national, regional, provincial, city, and institutional guidelines for the safety amidst disaster and pandemic. Hence, this class shall be delivered in both online and offline/module-based approach. This course is also compliant with Outcomes-Based Education (OBE) and 21st Century Learning Design (21CLD) frameworks.",Topic Learning Outcome,Final Period,TLO 12,"Describe how processes are created and terminated in an operating system, including developing programs using the appropriate system calls that perform these operations."
S-CSPC429,Operating System,"This course introduces a clear description of the concepts that underlie operating systems which focus on basic concepts, architectures, components, and theories that serve as bases for the design of classical and modern operating systems. The course will have a special provision on modality, pacing, pedagogy, assessment type, communication and feedback based on the national, regional, provincial, city, and institutional guidelines for the safety amidst disaster and pandemic. Hence, this class shall be delivered in both online and offline/module-based approach. This course is also compliant with Outcomes-Based Education (OBE) and 21st Century Learning Design (21CLD) frameworks.",Topic Learning Outcome,Final Period,TLO 13,Describe client-server communication using sockets and remote procedure calls.
